Honesty ,Scalability ,Robustness,Direct Trust,Indirect Trust,Aggregation
0.155,0.537,0.699,0.869,0.111,0.474
0.785,0.622,0.868,0.259,0.626,0.632
0.194,0.437,0.406,0.355,0.902,0.459
0.425,0.776,0.304,0.141,0.825,0.494
0.338,0.035,0.541,0.160,0.586,0.332
0.429,0.289,0.182,0.138,0.152,0.238
0.706,0.859,0.183,0.383,0.204,0.467
0.034,0.177,0.056,0.191,0.666,0.225
0.217,0.165,0.692,0.684,0.626,0.477
0.361,0.130,0.720,0.206,0.369,0.357
0.076,0.126,0.771,0.052,0.455,0.296
0.313,0.302,0.458,0.664,0.994,0.546
0.560,0.654,0.282,0.709,0.687,0.578
0.572,0.569,0.879,0.865,0.077,0.592
0.956,0.605,0.052,0.989,0.994,0.719
0.434,0.433,0.728,0.884,0.401,0.576
0.283,0.936,0.021,0.994,0.171,0.481
0.191,0.592,0.935,0.379,0.714,0.562
0.760,0.430,0.623,0.234,0.288,0.467
0.436,0.226,0.264,0.281,0.363,0.314
0.625,0.649,0.494,0.966,0.547,0.656
0.013,0.495,0.987,0.138,0.126,0.352
0.637,0.940,0.146,0.861,0.209,0.559
0.403,0.775,0.635,0.097,0.288,0.440
0.821,0.084,0.628,0.826,0.530,0.578
0.707,0.899,0.881,0.339,0.073,0.580
0.277,0.211,0.945,0.158,0.743,0.467
0.433,0.107,0.083,0.657,0.988,0.454
0.269,0.355,0.389,0.747,0.785,0.509
0.045,0.639,0.636,0.528,0.950,0.560
0.422,0.336,0.526,0.735,0.506,0.505
0.870,0.840,0.915,0.258,0.354,0.647
0.896,0.086,0.877,0.438,0.259,0.511
0.374,0.750,0.499,0.128,0.145,0.379
0.951,0.583,0.567,0.642,0.301,0.609
0.090,0.867,0.642,0.897,0.614,0.622
0.202,0.057,0.459,0.005,0.492,0.243
0.326,0.307,0.482,0.878,0.898,0.578
0.704,0.630,0.553,0.639,0.128,0.531
0.386,0.399,0.108,0.891,0.125,0.382
0.567,0.935,0.644,0.515,0.062,0.545
0.904,0.638,0.319,0.127,0.170,0.432
0.858,0.658,0.073,0.341,0.936,0.573
0.396,0.332,0.709,0.688,0.151,0.455
0.894,0.837,0.725,0.217,0.104,0.555
0.139,0.971,0.146,0.272,0.550,0.416
0.462,0.587,0.049,0.362,0.600,0.412
0.647,0.128,0.018,0.958,0.522,0.455
0.134,0.695,0.564,0.534,0.329,0.451
0.099,0.415,0.264,0.373,0.784,0.387
0.370,0.570,0.584,0.734,0.905,0.632
0.511,0.539,0.721,0.895,0.937,0.721
0.983,0.962,0.813,0.661,0.516,0.787
0.240,0.092,0.898,0.513,0.426,0.434
0.556,0.226,0.807,0.143,0.246,0.396
0.344,0.871,0.720,0.798,0.378,0.622
0.166,0.252,0.061,0.018,0.906,0.281
0.873,0.434,0.738,0.972,0.071,0.617
0.888,0.581,0.289,0.252,0.988,0.600
0.528,0.091,0.326,0.198,0.804,0.389
0.125,0.370,0.697,0.949,0.799,0.588
0.036,0.910,0.704,0.321,0.680,0.530
0.246,0.377,0.034,0.842,0.873,0.474
0.540,0.390,0.691,0.850,0.327,0.560
0.280,0.843,0.268,0.794,0.552,0.547
0.212,0.210,0.048,0.660,0.902,0.406
0.866,0.592,0.193,0.617,0.223,0.498
0.664,0.119,0.834,0.743,0.045,0.481
1.000,0.552,0.544,0.653,0.446,0.639
0.743,0.557,0.643,0.770,0.546,0.652
0.626,0.809,0.361,0.615,0.050,0.492
0.611,0.360,0.231,0.125,0.906,0.447
0.466,0.029,0.520,0.162,0.711,0.378
0.235,0.103,0.407,0.682,0.925,0.470
0.526,0.565,0.202,0.736,0.448,0.495
0.284,0.889,0.074,0.358,0.079,0.336
0.307,0.549,0.520,0.187,0.665,0.445
0.531,0.032,0.436,0.901,0.154,0.411
0.710,0.643,0.856,0.060,0.151,0.484
0.404,0.724,0.822,0.863,0.184,0.600
0.413,0.612,0.011,0.747,0.335,0.424
0.123,0.489,0.629,0.557,0.267,0.413
0.732,0.608,0.403,0.118,0.397,0.452
0.154,0.664,0.502,0.830,0.428,0.516
0.838,0.375,0.373,0.716,0.096,0.480
0.811,0.947,0.819,0.954,0.392,0.785
0.342,0.790,0.229,0.924,0.759,0.609
0.915,0.231,0.131,0.732,0.091,0.420
0.603,0.771,0.577,0.389,0.409,0.550
0.034,0.525,0.851,0.616,0.985,0.602
0.540,0.225,0.659,0.162,0.617,0.441
0.649,0.167,0.581,0.150,0.415,0.392
0.965,0.435,0.095,0.472,0.091,0.412
0.426,0.515,0.911,0.218,0.647,0.543
0.093,0.181,0.633,0.469,0.522,0.380
0.030,0.543,0.502,0.053,0.017,0.229
0.742,0.944,0.422,0.062,0.006,0.435
0.190,0.341,0.421,0.327,0.437,0.343
0.472,0.045,0.345,0.308,0.986,0.431
0.035,0.740,0.599,0.494,0.634,0.501
0.747,0.884,0.521,0.783,0.958,0.778
0.499,0.947,0.450,0.915,0.968,0.756
0.504,0.262,0.162,0.886,0.256,0.414
0.210,0.220,0.282,0.860,0.176,0.350
0.549,0.515,0.799,0.934,0.391,0.638
0.004,0.632,0.610,0.415,0.689,0.470
0.905,0.469,0.129,0.742,0.809,0.611
0.828,0.184,0.041,0.963,0.972,0.598
0.437,0.489,0.383,0.172,0.914,0.479
0.930,0.493,0.801,0.147,0.969,0.668
0.857,0.401,0.855,0.894,0.145,0.630
0.279,0.372,0.029,0.556,0.498,0.347
0.755,0.367,0.198,0.123,0.582,0.405
0.769,0.750,0.053,0.539,0.758,0.574
0.803,0.315,0.320,0.521,0.824,0.556
0.982,0.930,0.547,0.419,0.973,0.770
0.771,0.016,0.593,0.680,0.048,0.422
0.998,0.344,0.774,0.969,0.667,0.750
0.411,0.698,0.616,0.670,0.157,0.510
0.649,0.351,0.520,0.982,0.368,0.574
0.662,0.266,0.257,0.454,0.273,0.382
0.961,0.152,0.882,0.500,0.725,0.644
0.896,0.634,0.955,0.279,0.376,0.628
0.483,0.418,0.182,0.612,0.958,0.530
0.579,0.875,0.098,0.805,0.205,0.512
0.942,0.095,0.651,0.235,0.576,0.500
0.692,0.716,0.790,0.976,0.347,0.704
0.784,0.473,0.278,0.513,0.357,0.481
0.907,0.690,0.152,0.718,0.947,0.683
0.851,0.188,0.512,0.134,0.299,0.397
0.591,0.114,0.858,0.295,0.495,0.470
0.638,0.874,0.561,0.955,0.699,0.745
0.038,0.761,0.414,0.307,0.701,0.444
0.813,0.398,0.932,0.093,0.984,0.644
0.797,0.276,0.212,0.034,0.061,0.276
0.124,0.991,0.629,0.099,0.253,0.419
0.133,0.169,0.999,0.637,0.876,0.563
0.387,0.643,0.896,0.030,0.233,0.438
0.155,0.517,0.140,0.844,0.811,0.494
0.556,0.729,0.964,1.000,0.891,0.828
0.939,0.303,0.810,0.909,0.205,0.633
0.879,0.471,0.703,0.689,0.590,0.666
0.502,0.240,0.934,0.048,0.376,0.420
0.078,0.641,0.148,0.146,0.194,0.241
0.827,0.707,0.403,0.773,0.879,0.718
0.636,0.241,0.156,0.115,0.159,0.261
0.338,0.462,0.488,0.225,0.695,0.442
0.245,0.315,0.744,0.088,0.240,0.326
0.499,0.986,0.451,0.694,0.672,0.660
0.758,0.551,0.067,0.122,0.765,0.453
0.314,0.173,0.730,0.200,0.166,0.317
0.351,0.997,0.842,0.488,0.254,0.586
0.119,0.143,0.056,0.925,0.556,0.360
0.220,0.150,0.796,0.602,0.420,0.438
0.482,0.059,0.087,0.887,0.241,0.351
0.543,0.308,0.937,0.109,0.063,0.392
0.426,0.190,0.415,0.391,0.635,0.411
0.035,0.501,0.003,0.530,0.944,0.403
0.219,0.040,0.684,0.967,0.065,0.395
0.173,0.743,0.143,0.880,0.703,0.529
0.585,0.559,0.927,0.921,0.137,0.626
0.453,0.599,0.164,0.988,0.176,0.476
0.534,0.156,0.640,0.198,0.402,0.386
0.285,0.613,0.047,0.083,0.867,0.379
0.049,0.315,0.303,0.771,0.532,0.394
0.916,0.908,0.289,0.360,0.262,0.547
0.320,0.875,0.417,0.331,0.920,0.573
0.327,0.404,0.097,0.530,0.331,0.338
0.691,0.219,0.971,0.331,0.038,0.450
0.024,0.197,0.197,0.911,0.528,0.371
0.935,0.346,0.108,0.119,0.608,0.423
0.795,0.011,0.922,0.044,0.894,0.533
0.223,0.630,0.204,0.025,0.340,0.284
0.192,0.527,0.722,0.604,0.027,0.414
0.492,0.444,0.452,0.513,0.961,0.572
0.177,0.063,0.003,0.342,0.267,0.171
0.338,0.074,0.861,0.526,0.495,0.459
0.765,0.173,0.573,0.944,0.720,0.635
0.208,0.118,0.244,0.230,0.878,0.336
0.703,0.098,0.376,0.421,0.504,0.420
0.937,0.170,0.631,0.074,0.220,0.407
0.177,0.072,0.741,0.036,0.243,0.254
0.665,0.827,0.200,0.312,0.092,0.419
0.982,0.300,0.309,0.564,0.549,0.541
0.256,0.713,0.893,0.130,0.214,0.441
0.122,0.005,0.883,0.583,0.304,0.379
0.632,0.456,0.221,0.384,0.051,0.349
0.464,0.442,0.486,0.918,0.658,0.594
0.435,0.187,0.237,0.127,0.913,0.380
0.671,0.636,0.924,0.357,0.769,0.671
0.800,0.680,0.005,0.593,0.694,0.554
0.913,0.327,0.650,0.850,0.163,0.580
0.091,0.628,0.719,0.528,0.022,0.398
0.512,0.662,0.823,0.969,0.368,0.667
0.981,0.776,0.123,0.743,0.279,0.580
0.263,0.504,0.740,0.527,0.629,0.533
0.392,0.567,0.626,0.039,0.513,0.427
0.833,0.363,0.314,0.010,0.422,0.388
0.735,0.083,0.402,0.447,0.049,0.343
0.661,0.416,0.918,0.892,0.373,0.652
0.121,0.585,0.625,0.049,0.255,0.327
0.544,0.080,0.649,0.791,0.854,0.584
0.867,0.298,0.695,0.483,0.437,0.556
0.052,0.050,0.031,0.349,0.040,0.104
0.320,0.427,0.810,0.332,0.986,0.575
0.848,0.019,0.037,0.835,0.928,0.534
0.609,0.406,0.730,0.926,0.366,0.608
0.446,0.235,0.239,0.400,0.827,0.429
0.509,0.354,0.253,0.089,0.539,0.349
0.208,0.777,0.689,0.239,0.721,0.527
0.635,0.573,0.870,0.949,0.186,0.643
0.509,0.634,0.689,0.108,0.836,0.555
0.880,0.565,0.562,0.516,0.962,0.697
0.906,0.991,0.026,0.610,0.693,0.645
0.516,0.023,0.306,0.618,0.290,0.350
0.227,0.846,0.090,0.639,0.125,0.385
0.492,0.697,0.839,0.992,0.239,0.652
0.085,0.658,0.101,0.068,0.111,0.205
0.557,0.237,0.119,0.630,0.302,0.369
0.000,0.214,0.752,0.356,0.059,0.276
0.885,0.846,0.607,0.051,0.122,0.502
0.283,0.923,0.238,0.612,0.108,0.433
0.268,0.467,0.485,0.995,0.454,0.534
0.012,0.020,0.263,0.611,0.610,0.303
0.964,0.313,0.436,0.289,0.741,0.549
0.939,0.234,0.993,0.507,0.651,0.665
0.025,0.427,0.865,0.194,0.804,0.463
0.258,0.234,0.871,0.763,0.545,0.534
0.519,0.497,0.858,0.440,0.663,0.595
0.129,0.806,0.503,0.275,0.459,0.434
0.878,0.881,0.259,0.942,0.245,0.641
0.695,0.773,0.466,0.296,0.701,0.586
0.321,0.720,0.545,0.391,0.686,0.532
0.440,0.596,0.479,0.479,0.674,0.533
0.384,0.764,0.944,0.353,0.575,0.604
0.780,0.116,0.608,0.286,0.482,0.454
0.012,0.801,0.386,0.607,0.830,0.527
0.805,0.963,0.977,0.487,0.134,0.673
0.907,0.656,0.083,0.789,0.454,0.578
0.701,0.221,0.065,0.538,0.060,0.317
0.627,0.243,0.113,0.057,0.318,0.272
0.192,0.509,0.251,0.603,0.334,0.378
0.399,0.610,0.029,0.694,0.912,0.529
0.261,0.650,0.005,0.939,0.258,0.422
0.253,0.279,0.174,0.405,0.619,0.346
0.687,0.765,0.440,0.536,0.271,0.540
0.889,0.740,0.194,0.580,0.894,0.659
0.152,0.462,0.990,0.430,0.928,0.592
0.487,0.874,0.968,0.262,0.852,0.689
0.582,0.454,0.327,0.411,0.720,0.499
0.456,0.249,0.468,0.202,0.670,0.409
0.073,0.030,0.669,0.569,0.168,0.302
0.829,0.521,0.912,0.373,0.325,0.592
0.006,0.242,0.993,0.582,0.680,0.501
0.710,0.865,0.755,0.534,0.832,0.739
0.967,0.128,0.707,0.604,0.465,0.574
0.056,0.214,0.848,0.145,0.383,0.329
0.965,0.432,0.998,0.753,0.420,0.714
0.308,0.357,0.658,0.810,0.447,0.516
0.323,0.534,0.292,0.842,0.566,0.511
0.663,0.350,0.579,0.714,0.141,0.490
0.369,0.873,0.292,0.058,0.052,0.329
0.596,0.001,0.402,0.175,0.076,0.250
0.323,0.668,0.360,0.865,0.986,0.640
0.377,0.892,0.667,0.756,0.525,0.644
0.840,0.374,0.275,0.119,0.838,0.489
0.751,0.503,0.060,0.506,0.029,0.370
0.609,0.445,0.224,0.043,0.878,0.440
0.882,0.025,0.569,0.804,0.652,0.586
0.267,0.416,0.111,0.624,0.566,0.397
0.770,0.762,0.882,0.576,0.319,0.662
0.958,0.256,0.959,0.920,0.043,0.627
0.939,0.831,0.472,0.756,0.060,0.612
0.510,0.517,0.508,0.222,0.009,0.353
0.821,0.352,0.165,0.192,0.295,0.365
0.566,0.528,0.776,0.350,0.230,0.490
0.073,0.490,0.492,0.299,0.390,0.349
0.532,0.246,0.855,0.837,0.144,0.523
0.089,0.557,0.239,0.382,0.255,0.304
0.174,0.510,0.174,0.346,0.359,0.312
0.375,0.869,0.543,0.162,0.420,0.474
0.731,0.220,0.790,0.635,0.079,0.491
0.653,0.784,0.659,0.617,0.668,0.676
0.925,0.899,0.276,0.617,0.225,0.588
0.317,0.855,0.903,0.768,0.980,0.765
0.611,0.037,0.304,0.081,0.767,0.360
0.946,0.232,0.881,0.286,0.523,0.574
0.709,0.898,0.850,0.967,0.204,0.726
0.109,0.373,0.096,0.117,0.271,0.193
0.025,0.426,0.768,0.891,0.336,0.489
0.505,0.330,0.790,0.705,0.285,0.523
0.076,0.106,0.811,0.997,0.807,0.559
0.793,0.301,0.817,0.586,0.722,0.644
0.422,0.866,0.801,0.083,0.403,0.515
0.109,0.064,0.868,0.711,0.754,0.501
0.335,0.005,0.705,0.989,0.616,0.530
0.035,0.743,0.701,0.608,0.332,0.484
0.669,0.812,0.698,0.637,0.215,0.606
0.320,0.605,0.438,0.366,0.835,0.513
0.315,0.472,0.191,0.434,0.984,0.479
0.956,0.288,0.244,0.459,0.002,0.390
0.672,0.612,0.361,0.460,0.672,0.555
0.121,0.461,0.634,0.386,0.168,0.354
0.653,0.693,0.339,0.912,0.050,0.529
0.763,0.290,0.114,0.762,0.061,0.398
0.735,0.210,0.050,0.735,0.023,0.351
0.483,0.667,0.903,0.303,0.749,0.621
0.128,0.541,0.989,0.995,0.641,0.659
0.910,0.691,0.155,0.835,0.259,0.570
0.470,0.021,0.511,0.179,0.496,0.335
0.040,0.981,0.980,0.167,0.022,0.438
0.045,0.519,0.567,0.094,0.519,0.349
0.290,0.596,0.049,0.666,0.153,0.351
0.945,0.235,0.867,0.018,0.315,0.476
0.930,0.684,0.250,0.554,0.205,0.525
0.099,0.808,0.891,0.187,0.572,0.511
0.317,0.020,0.100,0.897,0.270,0.321
0.407,0.202,0.428,0.975,0.325,0.467
0.154,0.199,0.549,0.431,0.663,0.399
0.972,0.733,0.240,0.750,0.441,0.627
0.213,0.508,0.766,0.050,0.800,0.467
0.344,0.535,0.680,0.138,0.600,0.459
0.128,0.549,0.099,0.548,0.134,0.292
0.332,0.110,0.098,0.677,0.542,0.352
0.261,0.367,0.940,0.389,0.744,0.540
0.548,0.428,0.485,0.828,0.162,0.490
0.391,0.007,0.663,0.731,0.186,0.396
0.763,0.142,0.593,0.442,0.580,0.504
0.628,0.411,0.884,0.473,0.891,0.657
0.103,0.085,0.266,0.515,0.264,0.246
0.345,0.066,0.499,0.976,0.089,0.395
0.038,0.779,0.183,0.982,0.506,0.498
0.612,0.066,0.783,0.619,0.413,0.499
0.688,0.882,0.319,0.890,0.073,0.571
0.061,0.694,0.361,0.969,0.204,0.458
0.934,0.827,0.101,0.169,0.200,0.446
0.974,0.441,0.299,0.480,0.252,0.489
0.394,0.486,0.649,0.247,0.458,0.447
0.817,0.212,0.665,0.499,0.083,0.455
0.528,0.219,0.274,0.758,0.453,0.446
0.582,0.834,0.890,0.308,0.639,0.651
0.958,0.783,0.138,0.965,0.202,0.609
0.851,0.265,0.668,0.208,0.187,0.436
0.020,0.056,0.781,0.164,0.622,0.329
0.598,0.618,0.108,0.539,0.245,0.422
0.250,0.138,0.764,0.559,0.485,0.439
0.860,0.929,0.005,0.681,0.573,0.610
0.098,0.144,0.328,0.863,0.850,0.457
0.311,0.071,0.739,0.907,0.173,0.440
0.481,0.121,0.713,0.592,0.600,0.501
0.601,0.172,0.463,0.379,0.630,0.449
0.335,0.073,0.456,0.791,0.726,0.476
0.378,0.151,0.292,0.432,0.096,0.270
0.578,0.849,0.281,0.083,0.001,0.358
0.040,0.984,0.763,0.632,0.141,0.512
0.513,0.837,0.404,0.548,0.630,0.586
0.415,0.100,0.877,0.010,0.196,0.319
0.297,0.602,0.703,0.152,0.688,0.488
0.168,0.632,0.282,0.205,0.839,0.425
0.857,0.425,0.569,0.748,0.087,0.537
0.793,0.800,0.345,0.959,0.892,0.758
0.438,0.007,0.163,0.004,0.221,0.167
0.424,0.811,0.683,0.723,0.005,0.529
0.606,0.256,0.109,0.540,0.724,0.447
0.805,0.386,0.953,0.596,0.409,0.630
0.975,0.431,0.389,0.319,0.069,0.436
0.906,0.192,0.017,0.251,0.378,0.349
0.119,0.597,0.021,0.041,0.866,0.329
0.624,0.917,0.281,0.123,0.938,0.577
0.143,0.246,0.873,0.387,0.472,0.424
0.820,0.094,0.104,0.403,0.440,0.372
0.840,0.129,0.085,0.793,0.162,0.402
0.423,0.110,0.313,0.379,0.030,0.251
0.650,0.898,0.993,0.225,0.716,0.697
0.927,0.333,0.748,0.480,0.447,0.587
0.522,0.097,0.437,0.767,0.323,0.429
0.832,0.778,0.135,0.793,0.681,0.644
0.387,0.137,0.451,0.818,0.874,0.533
0.495,0.277,0.325,0.161,0.814,0.414
0.603,0.864,0.180,0.660,0.922,0.646
0.133,0.246,0.363,0.163,0.126,0.206
0.368,0.513,0.010,0.807,0.922,0.524
0.198,0.714,0.289,0.986,0.251,0.488
0.344,0.643,0.319,0.928,0.415,0.530
0.562,0.519,0.501,0.313,0.882,0.555
0.126,0.657,0.510,0.367,0.492,0.430
0.500,0.466,0.608,0.484,0.386,0.489
0.746,0.314,0.277,0.321,0.283,0.388
0.292,0.686,0.794,0.780,0.589,0.628
0.325,0.106,0.322,0.059,0.286,0.219
0.787,0.520,0.917,0.658,0.608,0.698
0.284,0.956,0.041,0.832,0.859,0.594
0.375,0.617,0.255,0.432,0.780,0.492
0.072,0.650,0.714,0.415,0.054,0.381
0.429,0.849,0.398,0.613,0.734,0.605
0.329,0.374,0.635,0.240,0.023,0.320
0.689,0.603,0.794,0.328,0.895,0.662
0.786,0.115,0.613,0.731,0.647,0.578
0.552,0.621,0.705,0.882,0.365,0.625
0.657,0.904,0.482,0.150,0.688,0.576
0.232,0.605,0.698,0.611,0.127,0.454
0.002,0.823,0.232,0.707,0.711,0.495
0.010,0.155,0.897,0.605,0.113,0.356
0.693,0.833,0.499,0.840,0.566,0.686
0.993,0.452,0.685,0.064,0.273,0.494
0.696,0.901,0.147,0.462,0.990,0.639
0.541,0.322,0.121,0.247,0.855,0.417
0.154,0.584,0.294,0.611,0.632,0.455
0.834,0.312,0.818,0.634,0.584,0.637
0.782,0.171,0.980,0.074,0.002,0.402
0.171,0.700,0.242,0.326,0.985,0.485
0.843,0.645,0.567,0.530,0.034,0.524
0.795,0.604,0.180,0.231,0.066,0.375
0.528,0.891,0.245,0.628,0.931,0.645
0.267,0.218,0.522,0.890,0.476,0.474
0.992,0.557,0.661,0.129,0.197,0.507
0.453,0.690,0.246,0.729,0.291,0.482
0.338,0.832,0.031,0.393,0.040,0.327
0.606,0.021,0.829,0.488,0.671,0.523
0.787,0.580,0.374,0.787,0.889,0.683
0.803,0.110,0.545,0.795,0.533,0.557
0.152,0.440,0.714,0.850,0.108,0.453
0.130,0.322,0.447,0.852,0.642,0.479
0.142,0.407,0.501,0.430,0.675,0.431
0.928,0.025,0.257,0.747,0.956,0.583
0.806,0.437,0.600,0.110,0.039,0.398
0.193,0.076,0.963,0.989,0.397,0.524
0.461,0.715,0.016,0.803,0.722,0.544
0.799,0.187,0.219,0.239,0.075,0.304
0.546,0.338,0.693,0.524,0.078,0.436
0.058,0.364,0.468,0.506,0.376,0.355
0.965,0.861,0.207,0.887,0.314,0.647
0.735,0.418,0.838,0.135,0.261,0.477
0.004,0.549,0.293,0.024,0.366,0.247
0.745,0.228,0.275,0.875,0.073,0.439
0.012,0.314,0.250,0.582,0.252,0.282
0.010,0.915,0.238,0.563,0.126,0.370
0.965,0.493,0.166,0.402,0.029,0.411
0.584,0.466,0.577,0.404,0.004,0.407
0.993,0.902,0.387,0.517,0.768,0.713
0.775,0.354,0.823,0.696,0.268,0.583
0.317,0.725,0.697,0.936,0.802,0.695
0.115,0.586,0.138,0.221,0.920,0.396
0.413,0.011,0.325,0.740,0.678,0.433
0.993,0.874,0.182,0.111,0.802,0.592
0.186,0.857,0.290,0.650,0.762,0.549
0.195,0.106,0.887,0.592,0.575,0.471
0.093,0.432,0.601,0.372,0.343,0.368
0.559,0.488,0.352,0.486,0.592,0.495
0.710,0.184,0.105,0.154,0.420,0.315
0.581,0.171,0.419,0.844,0.318,0.467
0.941,0.989,0.936,0.316,0.323,0.701
0.770,0.859,0.092,0.387,0.958,0.613
0.205,0.036,0.869,0.103,0.630,0.369
0.079,0.213,0.096,0.007,0.447,0.169
0.133,0.289,0.350,0.839,0.439,0.410
0.791,0.748,0.086,0.343,0.227,0.439
0.783,0.212,0.470,0.341,0.424,0.446
0.061,0.905,0.125,0.387,0.985,0.493
0.097,0.791,0.166,0.742,0.266,0.412
0.179,0.987,0.397,0.803,0.372,0.548
0.612,0.677,0.465,0.639,0.406,0.560
0.321,0.008,0.464,0.188,0.865,0.369
0.489,0.628,0.683,0.009,0.328,0.428
0.622,0.879,0.250,0.736,0.371,0.572
0.961,0.818,0.698,0.687,0.462,0.725
0.561,0.523,0.101,0.498,0.764,0.489
0.422,0.511,0.824,0.995,0.883,0.727
0.868,0.356,0.634,0.957,0.684,0.700
0.764,0.361,0.477,0.753,0.784,0.628
0.915,0.628,0.375,0.695,0.954,0.714
0.329,0.482,0.868,0.737,0.205,0.524
0.322,0.868,0.761,0.580,0.379,0.582
0.332,0.099,0.504,0.801,0.073,0.362
0.936,0.711,0.885,0.275,0.586,0.679
0.338,0.175,0.564,0.619,0.653,0.470
0.880,0.540,0.651,0.053,0.335,0.492
0.158,0.617,0.518,0.021,0.020,0.267
0.734,0.526,0.057,0.137,0.105,0.312
0.245,0.339,0.953,0.408,0.736,0.536
0.430,0.956,0.572,0.369,0.883,0.642
0.959,0.441,0.327,0.108,0.201,0.407
0.422,0.674,0.784,0.384,0.645,0.582
0.771,0.971,0.916,0.544,0.382,0.717
0.827,0.136,0.860,0.991,0.350,0.633
0.776,0.389,0.227,0.889,0.537,0.564
0.097,0.083,0.422,0.531,0.796,0.386
0.071,0.572,0.218,0.718,0.113,0.339
0.609,0.918,0.499,0.269,0.286,0.516
0.353,0.887,0.158,0.565,0.982,0.589
0.965,0.944,0.518,0.017,0.103,0.509
0.028,0.882,0.368,0.388,0.245,0.382
0.528,0.732,0.422,0.514,0.680,0.575
0.739,0.717,0.378,0.319,0.585,0.548
0.240,0.955,0.483,0.224,0.720,0.525
0.176,0.472,0.086,0.240,0.397,0.274
0.598,0.197,0.785,0.440,0.716,0.547
0.537,0.779,0.479,0.964,0.104,0.573
0.980,0.545,0.700,0.990,0.599,0.763
0.741,0.813,0.218,0.631,0.452,0.571
0.435,0.764,0.311,0.745,0.185,0.488
0.439,0.772,0.368,0.032,0.888,0.500
0.651,0.745,0.843,0.478,0.116,0.567
0.876,0.594,0.383,0.637,0.515,0.601
0.342,0.058,0.949,0.250,0.828,0.486
0.241,0.251,0.372,0.050,0.962,0.375
0.093,0.163,0.171,0.844,0.810,0.416
0.145,0.055,0.745,0.556,0.989,0.498
0.213,0.884,0.678,0.219,0.323,0.463
0.741,0.629,0.027,0.493,0.599,0.498
0.166,0.938,0.706,0.398,0.893,0.620
0.895,0.513,0.896,0.110,0.029,0.488
0.123,0.616,0.550,0.952,0.269,0.502
0.606,0.797,0.680,0.858,0.347,0.658
0.317,0.509,0.460,0.795,0.141,0.444
0.673,0.124,0.774,0.847,0.497,0.583
0.392,0.032,0.013,0.076,0.367,0.176
0.386,0.079,0.833,0.454,0.040,0.358
0.698,0.936,0.302,0.672,0.369,0.596
0.110,0.718,0.934,0.678,0.415,0.571
0.936,0.170,0.702,0.546,0.439,0.559
0.743,0.432,0.459,0.210,0.861,0.541
0.004,0.549,0.388,0.945,0.896,0.556
0.924,0.211,0.840,0.418,0.159,0.510
0.996,0.933,0.833,0.469,0.267,0.700
0.921,0.802,0.580,0.677,0.648,0.726
0.998,0.002,0.185,0.150,0.190,0.305
0.396,0.975,0.117,0.069,0.166,0.345
0.043,0.495,0.049,0.649,0.147,0.277
0.280,0.753,0.416,0.456,0.452,0.472
0.081,0.746,0.265,0.960,0.394,0.489
0.056,0.213,0.087,0.260,0.729,0.269
0.950,0.081,0.103,0.018,0.129,0.256
0.317,0.358,0.243,0.210,0.193,0.264
0.685,0.735,0.432,0.277,0.378,0.502
0.507,0.524,0.133,0.983,0.789,0.587
0.644,0.074,0.725,0.863,0.677,0.597
0.578,0.718,0.657,0.832,0.567,0.670
0.450,0.589,0.837,0.607,0.964,0.689
0.092,0.403,0.263,0.424,0.745,0.385
0.244,0.770,0.484,0.590,0.471,0.512
0.455,0.754,0.559,0.926,0.603,0.659
0.414,0.729,0.747,0.109,0.185,0.437
0.573,0.732,0.472,0.065,0.189,0.406
0.765,0.797,0.503,0.480,0.713,0.651
0.850,0.117,0.844,0.085,0.192,0.418
0.328,0.810,0.669,0.741,0.508,0.611
0.807,0.881,0.384,0.966,0.033,0.614
0.215,0.307,0.704,0.037,0.578,0.368
0.264,0.009,0.306,0.504,0.912,0.399
0.517,0.224,0.778,0.153,0.842,0.503
0.601,0.221,0.503,0.476,0.514,0.463
0.063,0.857,0.764,0.243,0.201,0.426
0.623,0.667,0.384,0.865,0.860,0.680
0.352,0.449,0.811,0.473,0.484,0.514
0.510,0.301,0.226,0.345,0.507,0.378
0.318,0.996,0.463,0.828,0.997,0.720
0.935,0.923,0.966,0.272,0.487,0.716
0.371,0.476,0.768,0.037,0.579,0.446
0.654,0.328,0.489,0.200,0.817,0.498
0.402,0.102,0.968,0.318,0.774,0.513
0.190,0.057,0.306,0.637,0.129,0.264
0.716,0.315,0.954,0.724,0.079,0.558
0.344,0.470,0.058,0.613,0.812,0.459
0.949,0.402,0.940,0.638,0.692,0.724
0.264,0.103,0.135,0.645,0.573,0.344
0.599,0.908,0.141,0.029,0.321,0.400
0.194,0.338,0.996,0.446,0.070,0.409
0.936,0.793,0.342,0.659,0.172,0.580
0.900,0.791,0.767,0.231,0.677,0.673
0.511,0.868,0.112,0.535,0.046,0.414
0.405,0.864,0.730,0.643,0.642,0.657
0.095,0.612,0.808,0.953,0.528,0.599
0.697,0.326,0.162,0.061,0.961,0.441
0.731,0.195,0.990,0.944,0.849,0.742
0.485,0.767,0.538,0.451,0.292,0.507
0.807,0.441,0.129,0.363,0.292,0.406
0.706,0.276,0.738,0.634,0.330,0.537
0.242,0.720,0.101,0.330,0.920,0.463
0.203,0.664,0.929,0.307,0.915,0.604
0.086,0.459,0.548,0.409,0.156,0.332
